Participante,Peliculas_totales,Peliculas_decada
ezequiel2517,2760,277.0
Manuki,540,50.0
FilmCanet,4,
TaeSuk,2106,304.0
Filmandera,2020,388.0
Javchas,3265,741.0
Xator_Nova,274,30.0
Doark13,2245,428.0
pele_alvaro,3170,627.0
1999_sohu,9980,1468.0
MabuseCaligari,4432,309.0
FrancoRizzo,4482,935.0
Faure,7034,1119.0
nichedeath,1381,138.0
korin,1194,232.0
MarioIglesias,13396,1511.0
Paula_Arantzazu,7045,953.0
uwugorka,1101,156.0
Alchemy97,6468,884.0
Colin_Maillard,2903,457.0
_alvarocampoy_,1579,114.0
Jarsito,2937,624.0
uryenbg,1882,207.0
jmrebollo,2158,472.0
parhelic,3306,825.0
marioquema,2456,334.0
guxiguxi,3185,512.0
Popovich89,6539,1227.0
bennu,1324,186.0
bergmantonioni,1915,369.0
figmare,3625,859.0
stalker98,2067,489.0
A_de_la_Hoz,5683,830.0
MetalTFT,0,
m0liner,759,157.0
novistenada,2217,141.0
mcromance,3850,843.0
kaarlenberg,3789,408.0
itsmerocio,5317,1180.0
JoanCuadrado,1572,97.0
CronicasDeckard,4507,967.0
Bernatus,2147,508.0
mmgarnica,4110,599.0
chinemusic,5020,484.0
gorkalonso1,1093,197.0
paloma55,5034,804.0
Simonsds,4152,656.0
fabregatto,6919,978.0
AlCorona,1502,180.0
Judex1916,3,
Rdosdedos,637,143.0
EloyG8,1958,516.0
Mas0204,5278,704.0
manuelsanbai,3146,278.0
josanjosan,1054,232.0
Colmener,5462,1112.0
elenacf,650,75.0
davidmd,2752,517.0
yosolomequejo,1334,147.0
Borinot,5550,1427.0
Endika,2288,79.0
fshtravis,3182,517.0
erni,2857,548.0
Angelopoulos,5537,1052.0
jasikedevicius,3378,549.0
NateFisher,2213,521.0
Cinematictalk,1630,181.0
DanielEscaners,4141,625.0
MrBike,1830,272.0
martinsalernx,1405,237.0
bustinduy,3953,626.0
bander7,3243,465.0
FaildeGuionista,2401,326.0
rodasons,6329,871.0
antares_not,2658,396.0
edgarfaber,3162,465.0
Ruben0,2656,252.0
MaboroshiMirage,984,185.0
huer,1842,282.0
Mann_Ohne_Namen,3878,388.0
Carlos_,4638,667.0
garles,1034,229.0
akerwoman,2374,370.0
Martincuesta,44,11.0
Vareludo,2220,272.0
Padimo02,2264,333.0
Malala,5597,686.0
AlejandroGR,1244,288.0
ukazioa,546,158.0
Maties_TP,2620,603.0
IsolarH,2312,497.0
hill_valley,1645,220.0
Bracero,39,4.0
AmaiaZufiaur,3555,602.0
Loloaka,1892,258.0
Toshiro15,2334,454.0
genzai_2,3581,664.0
albertvanden,2533,265.0
AntonioMagnolia,55,2.0
aixa72,4322,1054.0
diogoserafim,7175,962.0
mllvfrp,1648,301.0
JDCASERO,228,7.0
AndreuMarves,1855,198.0
msgatsby,2205,422.0
AleN99,4640,1224.0
AlbertoMilano,1089,230.0
jorgepm91,2257,423.0
Lobo_Lopez,6159,638.0
DrDrakeRamoray,2387,340.0
LaCaneli,2703,444.0
jal90,7083,1012.0
0uno4,1607,352.0
YeraiM,1009,135.0
alvySinger_,3431,638.0
Lubilder,1,
anaorgana,3122,369.0
miridbr,1123,243.0
Jorgemz,2032,258.0
A_Karerina,5729,629.0
DanielQuinn,8045,897.0
migblah,6852,1112.0
astarloa,1753,420.0
asm5sgr,3120,554.0
RafaNasal_leFou,0,
JuanGL001,1083,147.0
RachelMyGod,4898,657.0
Tannhauser,8073,1475.0
bernax24,364,30.0
jjm_24,3558,386.0
Nicoconka,3981,816.0
Alberto87FR,6419,1125.0
BeetBeatBit,456,82.0
Didacus,11901,1556.0
Glorfindel7567,2690,309.0
Hectorog,4360,556.0
Trueno,3092,591.0
tumbaparaelojo,786,110.0
MartialCantarel,901,193.0
elaguainmovil,51,2.0
Batty,4815,722.0
AndresTM,2502,426.0
HobbsEnd,4291,894.0
carmenmcab,1837,226.0
Adam_Kadmon,2232,432.0
Isaac98tm,3098,441.0
utges,3021,438.0
Ninotchka,4214,922.0
Saba1e7e,3216,577.0
anthonymous,1951,380.0
philippengel,0,
Dani1Medina,1649,409.0
rafaqc97,3794,636.0
NestorJuez,4288,546.0
Kirkis,1370,216.0
dogstarfran,7323,1587.0
Vicioinherente,6309,544.0
Alvaro_souvlaki,93,3.0
kndel_01,1757,228.0
hobbitillo,1297,93.0
Blanse,580,71.0
jlorenzo,933,183.0
will_llermo,5145,759.0
guillehormigo,3798,518.0
ariadnasc,80,4.0
irca,5068,550.0
MiguelMSH,2423,280.0
